Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No_of_trades
10-Feb-21,EQ,975.5,980.25,957.6,975.1,977,974.9,969.06,"1,081.55",471.4,2776301,"2,69,04,06,933.80",101957
09-Feb-21,EQ,978.6,999.8,967.25,982.55,975.95,975.1,985.09,"1,081.55",471.4,3086774,"3,04,07,39,956.50",85972
08-Feb-21,EQ,969.8,993,960.55,959.4,984,982.55,979.64,"1,081.55",471.4,3713579,"3,63,79,81,430.95",102104
05-Feb-21,EQ,972.35,980.85,950.05,969.2,960,959.4,962.01,"1,081.55",471.4,3077720,"2,96,08,03,877.80",66606
04-Feb-21,EQ,987.95,988,964.3,981.45,968.6,969.2,970.87,"1,081.55",471.4,4232910,"4,10,95,94,826.30",112818
03-Feb-21,EQ,965,"1,000.00",960.1,957.2,983.9,981.45,984.43,"1,081.55",471.4,5640121,"5,55,23,15,235.15",123433
02-Feb-21,EQ,955,972.9,937.5,941.75,957,957.2,952.03,"1,081.55",471.4,4971530,"4,73,30,35,432.85",151720
01-Feb-21,EQ,961.9,961.9,921.15,961.4,947.95,941.75,938.77,"1,081.55",471.4,6321189,"5,93,41,23,442.80",205929
29-Jan-21,EQ,990.1,995.9,956,981.6,961.05,961.4,974.13,"1,081.55",471.4,4425911,"4,31,14,11,799.45",100507
28-Jan-21,EQ,990,990,965,997.1,982,981.6,974.94,"1,081.55",471.4,4274190,"4,16,70,99,444.90",107154
27-Jan-21,EQ,978,"1,004.90",973.65,972.05,997.55,997.1,991.82,"1,081.55",471.4,6975618,"6,91,85,84,885.80",123094
25-Jan-21,EQ,985.85,997.9,962.2,980.85,977,972.05,980.72,"1,081.55",471.4,2751784,"2,69,87,19,126.80",69731
