Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No_of_trades
11-Feb-21,EQ,439,440.5,433.4,439,440.2,437,436.02,467.45,159.4,9237026,"4,02,75,18,160.70",77279
10-Feb-21,EQ,442,444.15,435,439.35,439.7,439,438.83,467.45,159.4,10607735,"4,65,50,01,302.00",86594
09-Feb-21,EQ,440.25,451.75,435.2,435.3,441.5,439.35,445.17,467.45,159.4,29474830,"13,12,12,20,479.85",232757
08-Feb-21,EQ,430.35,437.7,426.3,425.55,436.3,435.3,431.95,467.45,159.4,12516340,"5,40,63,78,731.25",114768
05-Feb-21,EQ,432,433.4,420.55,429.9,426.5,425.55,424.89,467.45,159.4,8679026,"3,68,76,25,859.55",88201
04-Feb-21,EQ,433.5,436.9,428.25,433.5,430.4,429.9,430.85,467.45,159.4,7193299,"3,09,92,48,262.30",74478
03-Feb-21,EQ,430.2,439.95,430.2,428.35,435,433.5,436.37,467.45,159.4,9897666,"4,31,90,33,021.40",103571
02-Feb-21,EQ,428,435.55,423.65,421.5,427.9,428.35,427.93,467.45,159.4,13310498,"5,69,60,08,265.30",111916
01-Feb-21,EQ,416.1,423.8,408.2,417.9,423.05,421.5,415.3,467.45,159.4,15081852,"6,26,34,67,806.45",160816
29-Jan-21,EQ,437.4,437.7,415.55,431.9,420,417.9,425.79,467.45,159.4,15632421,"6,65,61,58,339.40",143912
28-Jan-21,EQ,443.25,448.6,427.3,446.45,433,431.9,434.54,467.45,159.4,14812435,"6,43,66,22,050.55",157793
27-Jan-21,EQ,438,454.75,437.25,437.25,446,446.45,449.19,467.45,159.4,29590210,"13,29,15,61,394.70",224446
25-Jan-21,EQ,445.15,451,435.15,444.75,437.9,437.25,441.91,467.45,159.4,7380169,"3,26,13,60,007.80",86204
