Date,Open,High,Low,Close,Adj Close,Volume
12-08-2020,278.049988,298.899994,278.049988,296.850006,293.410767,97409
13-08-2020,300.899994,312.899994,300.350006,310.450012,306.85318,54753
14-08-2020,317.649994,317.649994,300.399994,305.450012,301.911133,44600
17-08-2020,311.899994,311.899994,306,309.299988,305.716492,24290
18-08-2020,310.799988,315,310.049988,312.700012,309.077118,14862
19-08-2020,312.850006,315.149994,311.25,313.399994,309.768982,9275
20-08-2020,314.899994,321.049988,312.399994,314.350006,310.708008,19727
21-08-2020,318,318,311.299988,312.25,308.632324,12170
24-08-2020,315,330.899994,310.950012,324.799988,321.036896,26777
25-08-2020,326.049988,329,318.75,320.299988,316.58905,12773
26-08-2020,320.299988,326,317.700012,320.399994,316.687897,20301
27-08-2020,329,329,321,322.450012,318.714172,12730
28-08-2020,324.299988,326.200012,316.049988,318.5,314.809906,28237
31-08-2020,318.600006,322.25,291.350006,304.700012,301.1698,51312
01-09-2020,304.700012,314,300.899994,307.299988,303.739655,27983
02-09-2020,303,309,302.149994,305.75,302.207642,7117
03-09-2020,313,319.299988,308,316.950012,313.277893,7790
04-09-2020,307.100006,314.899994,307,311.149994,307.545074,8352
07-09-2020,316.299988,316.299988,304.600006,307.600006,304.036194,10959
08-09-2020,308.5,322.299988,308.5,318.299988,314.612213,21099
09-09-2020,319.450012,320.049988,307,308.549988,304.975189,13473
10-09-2020,317.75,317.75,310.600006,316.100006,312.437714,13584
11-09-2020,316,316,308.350006,311.549988,307.94043,8167
14-09-2020,316.450012,328.450012,316.450012,324.399994,320.641541,21067
15-09-2020,328.850006,330,322,324.5,320.740387,24898
16-09-2020,329.950012,329.950012,319.25,319.899994,316.193695,3914
17-09-2020,317.149994,338.649994,316.850006,337.299988,333.39209,58191
18-09-2020,340,342,326.049988,336.450012,332.551971,56897
21-09-2020,339,345.450012,321.25,329.25,325.435364,72899
22-09-2020,325.549988,337.149994,305,334.100006,330.229187,52225
23-09-2020,338,343.100006,325.649994,330.799988,326.967407,32313
24-09-2020,319.700012,333.75,315.299988,316.700012,313.030792,8345
25-09-2020,320,333.350006,320,329.049988,325.237671,10863
28-09-2020,332.200012,332.200012,320.549988,322,318.269348,20089
29-09-2020,321.049988,328.399994,315,316.200012,312.53656,25303
30-09-2020,317,318,309.350006,314.149994,310.510315,16529
01-10-2020,314.25,317.549988,310,310.899994,307.297974,18432
05-10-2020,313.799988,318.450012,313.799988,316.049988,312.388275,17989
06-10-2020,315,326,315,316.700012,313.030792,33145
07-10-2020,318.899994,323.850006,316.649994,318.399994,314.71106,5626
08-10-2020,323,337.649994,323,324.299988,320.542694,33565
09-10-2020,323.299988,329.100006,321.799988,327.5,323.705627,8710
